id,name,description,price,category,url,image_url,availability,last_updated,in_stock,extraction_method
darwin_0040,Laptop-uri Apple MacBook Pro 14 2021,Nu există descriere disponibilă,380 MDL,Laptop-Uri,https://darwin.md/laptopuri/macbook-pro-14-2021,,"Laptop Apple MacBook Pro 14 2021 Space Gray
14.2"" | 16 GB | 512 GB | Apple M1 Pro (C8/G14) | VGA Integrată
Cashback 1 380 lei
45 990 lei",,False,seleniumbase
darwin_0042,Laptop-uri Apple MacBook Pro 16 2021,Nu există descriere disponibilă,400 MDL,Laptop-Uri,https://darwin.md/laptopuri/apple-macbook-pro-16-2021,,"Laptop Apple MacBook Pro 16 2021 Space Gray
16.2"" | 32 GB | 1 TB | Apple M1 Max (C10/G32) | VGA Integrată
Cashback 2 400 lei
79 990 lei",,False,seleniumbase
darwin_0045,Noile Laptop-uri Apple MacBook Pro 14 & 16 2021,Nu există descriere disponibilă,380 MDL,Laptop-Uri,https://darwin.md/laptopuri/apple-macbook-pro-14-16-2021,,"Laptop Apple MacBook Pro 14 2021 Space Gray
14.2"" | 16 GB | 512 GB | Apple M1 Pro (C8/G14) | VGA Integrată
Cashback 1 380 lei
45 990 lei",,False,seleniumbase
darwin_0047,Tablete Apple iPad Air 2022,Nu există descriere disponibilă,405 MDL,Tablete,https://darwin.md/tablete/apple-ipad-air-2022,,"Tabletă Apple iPad Air 2022 8 GB/ 64 GB Wi-Fi Purple (MME23RK/ A)
8 GB |64 GB | 12 MP | MME23RK/ A
Cashback 405 lei
13 490 lei",,False,seleniumbase
darwin_0051,Macbook Pro 13 2022,Nu există descriere disponibilă,900 MDL,Laptop-Uri,https://darwin.md/laptopuri/apple-macbook-pro-13-2022,,"Laptop Apple MacBook Pro 13 2022 (MNEP3RU/A) Silver
13.3"" 2K M2 (C8/G10) 8 GB 256 GB
Cashback 900 lei
29 990 lei",,False,seleniumbase
darwin_0054,iPhone SE 2022,Nu există descriere disponibilă,351 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/apple-iphone-se-2022,,"Apple iPhone SE 2022 128 GB Starlight
4.7"" | 12 MP | 4 GB | Single SIM
Cashback 351 lei
11 699 lei",,False,seleniumbase
darwin_0056,Camere Action Insta 360,Nu există descriere disponibilă,375 MDL,Camere Action,https://darwin.md/foto-si-video/camere-action/insta-360,,"Cameră action Insta360 ONE X2 Black
18 MP/ 1630 mAh/ IPX8
Cashback 375 lei
12 499 lei",,False,seleniumbase
darwin_0057,Laptopuri Lenovo IdeaPad 3,Nu există descriere disponibilă,321 MDL,Laptop-Uri,https://darwin.md/laptopuri/lenovo-ideapad-3,,"Laptop Lenovo IdeaPad 3 15ALC6 Arctic Gray
15.6"" | 8 GB | 256 GB | AMD Ryzen 3 5300U | VGA Integrată
Cashback 321 lei
10 690 lei",,False,seleniumbase
darwin_0058,Ceasuri inteligente Samsung Galaxy Watch 5,Nu există descriere disponibilă,189 MDL,Ceasuri Inteligente,https://darwin.md/gadgets/ceasuri-inteligente/samsung-galaxy-watch-5,,"Ceas inteligent Samsung Galaxy Watch5 Gray
1.36"" | 44 mm | Aluminiu/ Silicon |
Cashback 189 lei
6 299 lei
-31%
-1 890 lei
4 409 lei",,False,seleniumbase
darwin_0061,Apple iPhone 14,Nu există descriere disponibilă,360 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/apple-iphone-14,,"Apple iPhone 14 128 GB Purple
6.1"" | 12 MP | 6 GB | Single SIM
Cashback 360 lei
11 999 lei",,False,seleniumbase
darwin_0062,Apple Macbook Air M2 2022,Nu există descriere disponibilă,720 MDL,Laptop-Uri,https://darwin.md/laptopuri/apple-macbook-air-13-2022,,"Laptop Apple MacBook Air 13.6 2022 Silver
13.6"" | 8 GB | 256 GB | Apple M2 (C8/ G8) | VGA Integrată
Cashback 720 lei
23 990 lei",,False,seleniumbase
darwin_0063,Camere action 360°,Nu există descriere disponibilă,450 MDL,Camere Action,https://darwin.md/foto-si-video/camere-action/unghi-de-vizibilitate-360,,"Cameră action GoPro Hero 9 Bundle Black
20.6 MP/ 1720 mAh/ IPX8
Cashback 450 lei
14 999 lei",,False,seleniumbase
